EventID,Timestamp,Protocal,Source IP,Source Port,Destination IP,Destination Port
300,2024-12-21 16:48:32,tcp,192.168.43.13,34710,192.168.43.41,6002
301,2024-12-21 16:48:32,tcp,192.168.43.13,34710,192.168.43.41,8654
302,2024-12-21 16:48:32,tcp,192.168.43.13,34710,192.168.43.41,5555
303,2024-12-21 16:48:32,tcp,192.168.43.13,34710,192.168.43.41,32773
304,2024-12-21 16:48:32,tcp,192.168.43.13,34710,192.168.43.41,911
305,2024-12-21 16:48:32,tcp,192.168.43.13,34710,192.168.43.41,417
306,2024-12-21 16:48:32,tcp,192.168.43.13,34710,192.168.43.41,2038
307,2024-12-21 16:48:32,tcp,192.168.43.13,34710,192.168.43.41,2222
308,2024-12-21 16:48:32,tcp,192.168.43.13,34710,192.168.43.41,515
309,2024-12-21 16:48:32,tcp,192.168.43.13,34710,192.168.43.41,3659
310,2024-12-21 16:48:32,tcp,192.168.43.13,34710,192.168.43.41,10243
311,2024-12-21 16:48:32,tcp,192.168.43.13,34710,192.168.43.41,280
312,2024-12-21 16:48:32,tcp,192.168.43.13,34710,192.168.43.41,9002
313,2024-12-21 16:48:32,tcp,192.168.43.13,34710,192.168.43.41,9111
314,2024-12-21 16:48:32,tcp,192.168.43.13,34710,192.168.43.41,1091
315,2024-12-21 16:48:32,tcp,192.168.43.13,34710,192.168.43.41,7000
316,2024-12-21 16:48:32,tcp,192.168.43.13,34710,192.168.43.41,10000
317,2024-12-21 16:48:32,tcp,192.168.43.13,34710,192.168.43.41,2046
318,2024-12-21 16:48:32,tcp,192.168.43.13,34710,192.168.43.41,119
319,2024-12-21 16:48:32,tcp,192.168.43.13,34710,192.168.43.41,5952
320,2024-12-21 16:48:32,tcp,192.168.43.13,34710,192.168.43.41,9103
321,2024-12-21 16:48:32,tcp,192.168.43.13,34710,192.168.43.41,5060
322,2024-12-21 16:48:32,tcp,192.168.43.13,34710,192.168.43.41,41511
323,2024-12-21 16:48:32,tcp,192.168.43.13,34710,192.168.43.41,49155
324,2024-12-21 16:48:32,tcp,192.168.43.13,34710,192.168.43.41,1717
325,2024-12-21 16:48:32,tcp,192.168.43.13,34710,192.168.43.41,2170
326,2024-12-21 16:48:32,tcp,192.168.43.13,34710,192.168.43.41,33354
327,2024-12-21 16:48:32,tcp,192.168.43.13,34710,192.168.43.41,19842
328,2024-12-21 16:48:32,tcp,192.168.43.13,34710,192.168.43.41,1044
329,2024-12-21 16:48:32,tcp,192.168.43.13,34710,192.168.43.41,2604
330,2024-12-21 16:48:32,tcp,192.168.43.13,34710,192.168.43.41,6025
331,2024-12-21 16:48:32,tcp,192.168.43.13,34710,192.168.43.41,8009
332,2024-12-21 16:48:32,tcp,192.168.43.13,34710,192.168.43.41,2103
333,2024-12-21 16:48:32,tcp,192.168.43.13,34710,192.168.43.41,4279
334,2024-12-21 16:48:32,tcp,192.168.43.13,34710,192.168.43.41,1069
335,2024-12-21 16:48:32,tcp,192.168.43.41,777,192.168.43.13,34710
336,2024-12-21 16:48:32,tcp,192.168.43.41,13456,192.168.43.13,34710
337,2024-12-21 16:48:32,tcp,192.168.43.13,34710,192.168.43.41,52869
338,2024-12-21 16:48:32,tcp,192.168.43.41,3920,192.168.43.13,34710
339,2024-12-21 16:48:32,tcp,192.168.43.13,34710,192.168.43.41,5009
340,2024-12-21 16:48:32,tcp,192.168.43.41,32768,192.168.43.13,34710
